Number,Type,Answer,Question,example1,example2,example3,example4,example5
4,1,모듈,"파이썬에서 기능을 추가할 때 사용하는 것은?",리스트,모듈,클래스,함수,변수
5,1,딕셔너리,"키와 값의 쌍으로 데이터를 저장하는 자료형은?",리스트,튜플,딕셔너리,집합,배열
6,1,www.python.org,"파이썬의 공식 웹사이트는 어디인가?",www.python.com,www.python.org,www.java.com,www.c.com,www.java.org
7,2,10,"파이썬에서 5 + 5는 얼마인가?",,,,,
8,3,O,"파이썬은 객체 지향 프로그래밍 언어이다.",,,,,
9,2,조건문,"파이썬에서 조건문을 작성할 때 사용하는 키워드는?",,,,,
10,3,X,"파이썬은 컴파일 언어이다.",,,,,
11,1,인덱스,"리스트에서 첫 번째 값을 호출하는 방법은?",0,1,2,3,4
12,2,변수,"파이썬에서 값을 저장하는 공간을 무엇이라 부르나?",,,,,
13,3,O,"파이썬에서 '=='는 두 값이 같은지 비교하는 연산자이다.",,,,,
14,1,플로트,"소수점을 포함하는 숫자 자료형은?",정수,플로트,문자열,리스트,튜플
15,1,False,"파이썬에서 논리값 '거짓'을 나타내는 것은?",True,False,None,0,1
16,3,O,"def는 파이썬에서 함수를 선언할 때 사용하는 명령어이다.",,,,,
17,3,O,"파이썬에서 'and' 연산자는 두 조건이 모두 참일 때 참을 반환한다.",,,,,
18,1,range,"파이썬에서 특정 범위의 숫자를 생성하는 함수는?",range,random,choice,len,enumerate
19,2,함수,"파이썬에서 여러 줄의 코드를 하나의 블록으로 묶는 방법은?",,,,,
20,3,X,"파이썬에서는 switch 문을 사용할 수 있다.",,,,,
