Number,Type,Answer,Question,example1,example2,example3,example4,example5
1,1,"pyplot","matplotlib의 서브 모듈 중 가장 자주 사용하는 그래프 생성 모듈은?","plot","pyplot","graph","figure","draw"
2,1,"array","numpy에서 다차원 배열을 생성하는 함수는?","list","matrix","array","table","dataframe"
3,1,"plot","matplotlib에서 선 그래프를 생성하는 함수는?","scatter","bar","hist","plot","line"
4,2,"zeros","numpy에서 모든 원소가 0인 배열을 생성하는 함수는? (영문)",,,,,
5,1,"scatter","matplotlib에서 점 그래프를 생성하는 함수는?","plot","bar","hist","scatter","line"
6,1,"shape","numpy 배열의 차원을 확인하는 속성은?","dtype","size","shape","ndim","length"
7,3,"X","numpy는 데이터프레임을 생성할 수 있다",,,,,
8,1,"linspace","numpy에서 지정한 범위 내에서 균일하게 간격을 나누어 배열을 생성하는 함수는?","arange","linspace","range","split","interval"
9,1,"subplot","matplotlib에서 여러 그래프를 하나의 창에 그리기 위한 함수는?","figure","subplot","subgraph","subwindow","subaxis"
10,3,"O","numpy는 수치 계산을 위한 라이브러리이다",,,,,
11,1,"dtype","numpy 배열의 데이터 타입을 확인하는 속성은?","type","class","dtype","format","structure"
12,2,"arange","numpy에서 일정한 간격으로 배열을 생성하는 함수는? (영문)",,,,,
13,1,"hist","matplotlib에서 히스토그램을 생성하는 함수는?","bar","hist","plot","scatter","line"
14,3,"O","numpy 배열은 크기를 변경할 수 있다",,,,,
15,2,"mean","numpy에서 배열의 평균을 계산하는 함수는? (영문)",,,,,
16,1,"reshape","numpy 배열의 차원을 변경하는 함수는?","resize","reshape","reform","change","edit"
17,1,"imshow","matplotlib에서 이미지를 표시하는 함수는?","plot","scatter","imshow","figure","display"
18,3,"X","numpy 배열은 문자열 데이터를 지원하지 않는다",,,,,
19,1,"sum","numpy에서 배열의 요소를 모두 더하는 함수는?","sum","add","total","accumulate","combine"
20,2,"ndim","numpy에서 배열의 차원을 확인하는 속성은? (영문)",,,,,
21,1,"legend","matplotlib에서 범례를 추가하는 함수는?","title","axis","legend","label","caption"
22,1,"max","numpy에서 배열의 최대값을 구하는 함수는?","max","min","sum","abs","mean"
23,2,"size","numpy에서 배열의 전체 원소 수를 확인하는 속성은? (영문)",,,,,
24,1,"ylabel","matplotlib에서 y축에 레이블을 추가하는 함수는?","xaxis","xlabel","ylabel","yaxis","label"
25,1,"log","numpy에서 각 요소의 자연 로그를 계산하는 함수는?","ln","log","exp","sqrt","pow"
26,3,"O","matplotlib은 데이터 시각화를 위한 라이브러리이다",,,,,
27,1,"figure","새로운 그래프 창을 생성하는 matplotlib 함수는?","subplot","show","figure","grid","legend"
28,2,"sqrt","numpy에서 각 요소의 제곱근을 계산하는 함수는? (영문)",,,,,
29,1,"bar","matplotlib에서 막대 그래프를 생성하는 함수는?","plot","scatter","bar","hist","line"
30,3,"X","numpy 배열은 다양한 데이터 타입을 가질 수 있다",,,,,
31,2,"concatenate","numpy에서 배열을 연결하는 함수는? (영문)",,,,,
32,1,"xlabel","matplotlib에서 x축에 레이블을 추가하는 함수는?","ylabel","label","title","xlabel","axis"
33,3,"O","numpy 배열은 벡터 연산을 지원한다",,,,,
34,2,"random","numpy에서 무작위 값을 생성하는 모듈은? (영문)",,,,,
35,1,"transpose","numpy에서 배열의 축을 전환하는 함수는?","reshape","resize","transpose","flip","rotate"
36,1,"title","matplotlib에서 그래프에 제목을 추가하는 함수는?","xlabel","ylabel","legend","title","text"
37,1,"rand","numpy에서 0과 1 사이의 난수를 생성하는 함수는?","randint","rand","uniform","random","normal"
38,3,"O","numpy는 선형 대수 연산을 포함하고 있다",,,,,
39,1,"pi","numpy에서 원주율 상수를 나타내는 변수는?","pi","e","tau","phi","gamma"
40,2,"median","numpy에서 배열의 중앙값을 구하는 함수는? (영문)",,,,,
41,1,"grid","matplotlib에서 그래프의 격자를 표시하는 함수는?","show","axis","grid","lines","plot"
42,3,"X","matplotlib은 3D 그래프를 지원하지 않는다",,,,,
43,1,"abs","numpy에서 각 요소의 절댓값을 구하는 함수는?","abs","absolute","value","fabs","sign"
44,2,"ones","numpy에서 모든 원소가 1인 배열을 생성하는 함수는? (영문)",,,,,
45,1,"axis","numpy에서 지정된 축을 기준으로 연산할 때 사용하는 인수는?","axis","dim","direction","orientation","line"
46,1,"linestyle","matplotlib에서 선의 스타일을 설정하는 매개변수는?","style","line","linestyle","type","format"
47,1,"identity","numpy에서 단위 행렬을 생성하는 함수는?","eye","identity","matrix","ones","zeros"
48,3,"O","matplotlib은 커스터마이징이 가능한 다양한 그래프 스타일을 제공한다",,,,,
