Number,Type,Answer,Question,example1,example2,example3,example4,example5
1,1,귀도 반 로섬,파이썬 제작자의 이름은?,폰 노이만,웰터 피츠,귀도 반 로섬,앨런 튜링,데니스 리치
2,2,리스트,"다양한 자료형의 집합이고 수정가능한 객체는? (3글자, 한글로)",,,,,
3,3,X,C언어에서 Tensorflow를 사용할 수 있다,,,,,
4,1,모듈,파이썬에서 기능을 추가할 때 사용하는 것은?,리스트,모듈,클래스,함수,변수
5,1,딕셔너리,키와 값의 쌍으로 데이터를 저장하는 자료형은?,리스트,튜플,딕셔너리,집합,배열
6,1,www.python.org,파이썬의 공식 웹사이트는 어디인가?,www.python.com,www.python.org,www.java.com,www.c.com,www.java.org
7,2,10,파이썬에서 5 + 5는 얼마인가?,,,,,
8,3,O,파이썬은 객체 지향 프로그래밍 언어이다,,,,,
9,2,조건문,파이썬에서 조건문을 작성할 때 사용하는 키워드는?,,,,,
10,3,X,파이썬은 컴파일 언어이다,,,,,
11,1,0,리스트에서 첫 번째 값을 호출하는 방법은?,0,1,2,3,4
12,2,변수,파이썬에서 값을 저장하는 공간을 무엇이라 부르나?,,,,,
13,3,O,파이썬에서 '=='는 두 값이 같은지 비교하는 연산자이다,,,,,
14,1,플로트,소수점을 포함하는 숫자 자료형은?,정수,플로트,문자열,리스트,튜플
15,1,False,파이썬에서 논리값 '거짓'을 나타내는 것은?,True,False,None,0,1
16,2,문자열,파이썬에서 문자열을 만들 때 사용하는 따옴표는?,,,,,
17,3,O,파이썬에서 'and' 연산자는 두 조건이 모두 참일 때 참을 반환한다,,,,,
18,1,range,파이썬에서 특정 범위의 숫자를 생성하는 함수는?,range,random,choice,len,enumerate
19,2,함수,파이썬에서 여러 줄의 코드를 하나의 블록으로 묶는 방법은?,,,,,
20,3,X,파이썬에서는 switch 문을 사용할 수 있다,,,,,
21,1,콘솔,파이썬에서 프로그램 실행 결과를 출력하는 창은?,에디터,셸,터미널,콘솔,인터프리터
22,2,키워드,파이썬에서 예약된 단어는 무엇이라 부르는가?,,,,,
23,3,X,리스트는 불변의 자료형이다,,,,,
24,1,튜플,파이썬에서 불변의 순서 자료형은?,리스트,딕셔너리,튜플,집합,배열
25,2,정수형,파이썬에서 정수를 나타내는 자료형은?,,,,,
26,3,O,파이썬에서 'in' 키워드는 포함 여부를 확인한다,,,,,
27,1,random,무작위 숫자를 생성하는 파이썬 라이브러리는?,datetime,random,math,time,sys
28,2,return,함수에서 값을 반환할 때 사용하는 키워드는?,,,,,
29,3,X,파이썬에서는 두 변수를 동시에 선언할 수 없다,,,,,
30,1,파스칼,파이썬 변수명 작성 규칙 중 대문자 사용 규칙은?,카멜,스네이크,파스칼,케밥,헝가리
31,2,포매팅,문자열 내에 값을 삽입하는 방법을 무엇이라 하는가?,,,,,
32,3,O,파이썬에서 'elif'는 추가적인 조건을 나타낸다,,,,,
33,1,while,조건에 따라 반복 실행되는 반복문은?,for,while,do,loop,repeat
34,2,라이브러리,파이썬에서 제공하는 기능의 집합은 무엇이라 부르나?,,,,,
35,3,X,파이썬에서 파일 읽기 모드는 'write'다,,,,,
36,1,input,사용자로부터 입력을 받을 때 사용하는 함수는?,print,input,output,read,write
37,2,포인터,파이썬에서 메모리 주소를 가리키는 데이터 구조는?,,,,,
38,3,O,파이썬에서 예외 처리를 위해 'try-except' 구문을 사용한다,,,,,
39,1,몽키 패치,파이썬에서 기존 코드의 일부를 수정하는 방식은?,버전 패치,바이패스,몽키 패치,패치노트,핫픽스
40,2,패키지,여러 모듈을 묶은 파일 집합을 무엇이라 하는가?,,,,,
41,3,X,파이썬에서 자료형 변환은 불가능하다,,,,,
42,1,인덱싱,리스트의 특정 요소를 참조하는 방법은?,슬라이싱,인덱싱,튜플화,연산자,포인터
43,2,객체,파이썬에서 데이터와 관련된 함수가 결합된 구조는?,,,,,
44,3,O,파이썬에서 모든 것은 객체로 취급된다,,,,,
45,1,HTML,웹 페이지의 기본 구조를 정의하는 언어는?,HTML,CSS,JavaScript,Python,Java
46,2,컴파일러,코드를 기계어로 변환하는 프로그램은?,,,,,
47,3,X,파이썬에서는 배열 자료형이 있다,,,,,
48,1,API,어플리케이션 간의 상호작용을 위한 인터페이스는?,SDK,API,CLI,GUI,IDE
49,2,메모리 누수,사용되지 않는 메모리가 해제되지 않는 현상은?,,,,,
50,3,O,파이썬에서는 변수 선언 시 자료형을 명시하지 않는다,,,,,
51,1,False,"파이썬의 'not' 연산자는 참을 거짓으로 변환한다",True,False,None,0,1
52,2,몽키 패치,파이썬에서 기존 코드의 일부를 수정하는 방식은?,,,,,
53,3,O,파이썬에서 예외 처리 구문은 try-except를 사용한다,,,,,
54,1,파스칼,파이썬 변수명 작성 규칙 중 대문자 사용 규칙은?,카멜,스네이크,파스칼,케밥,헝가리
55,2,포매팅,문자열 내에 값을 삽입하는 방법을 무엇이라 하는가?,,,,,
56,3,O,파이썬에서 elif는 추가 조건을 나타낸다,,,,,
57,1,while,조건에 따라 반복 실행되는 반복문은?,for,while,do,loop,repeat
58,2,라이브러리,파이썬에서 제공하는 기능의 집합은 무엇이라 부르나?,,,,,
59,3,X,파이썬에서 파일 읽기 모드는 write다,,,,,
60,1,input,사용자로부터 입력을 받을 때 사용하는 함수는?,print,input,output,read,write
61,2,포인터,파이썬에서 메모리 주소를 가리키는 데이터 구조는?,,,,,
62,3,O,파이썬에서 예외 처리를 위해 try-except 구문을 사용한다,,,,,
63,1,몽키 패치,파이썬에서 기존 코드의 일부를 수정하는 방식은?,버전 패치,바이패스,몽키 패치,패치노트,핫픽스
64,2,패키지,여러 모듈을 묶은 파일 집합을 무엇이라 하는가?,,,,,
65,3,X,파이썬에서 자료형 변환은 불가능하다,,,,,
66,1,인덱싱,리스트의 특정 요소를 참조하는 방법은?,슬라이싱,인덱싱,튜플화,연산자,포인터
67,2,객체,파이썬에서 데이터와 관련된 함수가 결합된 구조는?,,,,,
68,3,O,파이썬에서 모든 것은 객체로 취급된다,,,,,
69,1,HTML,웹 페이지의 기본 구조를 정의하는 언어는?,HTML,CSS,JavaScript,Python,Java
70,2,컴파일러,코드를 기계어로 변환하는 프로그램은?,,,,,
71,3,X,파이썬에서는 배열 자료형이 있다,,,,,
72,1,API,어플리케이션 간의 상호작용을 위한 인터페이스는?,SDK,API,CLI,GUI,IDE
73,2,메모리 누수,사용되지 않는 메모리가 해제되지 않는 현상은?,,,,,
74,3,O,파이썬에서는 변수 선언 시 자료형을 명시하지 않는다,,,,,
75,1,False,"파이썬의 'not' 연산자는 참을 거짓으로 변환한다",True,False,None,0,1
